"","Weekday","AverageSteps","AverageDistance","AvgActiveMinutesTotal","AverageCalories","LightActiveDistance","ModeratelyActiveDistance","VeryActiveDistance","LightlyActiveMinutes","FairlyActiveMinutes","VeryActiveMinutes","SedentaryMinutes"
"1","Monday",7780.86666666667,5.55291666009925,229.166666666667,2324.20833333333,3.36308333262925,0.585833332432333,1.53733334206167,192.058333333333,14,23.1083333333333,1027.94166666667
"2","Tuesday",8125.00657894737,5.83223680816234,234.631578947368,2356.01315789474,3.47105262592287,0.593026315224737,1.61328947705474,197.342105263158,14.3355263157895,22.9539473684211,1007.36184210526
"3","Wednesday",7559.37333333333,5.48833332797717,223.733333333333,2302.62,3.25633334049317,0.527066666236067,1.6334666670756,189.853333333333,13.1,20.78,989.48
"4","Thursday",7405.83673469388,5.31224492364943,216.789115646258,2199.57142857143,3.28312924944072,0.505170066512313,1.3904761978498,185.421768707483,11.9591836734694,19.4081632653061,961.993197278912
"5","Friday",7448.23015873016,5.30992062129571,236.365079365079,2331.78571428571,3.48912696801476,0.483809522874444,1.31293650183786,204.198412698413,12.1111111111111,20.0555555555556,1000.30952380952
"6","Saturday",8152.97580645161,5.85467742294013,244.266129032258,2354.96774193548,3.61717741793497,0.677338705057419,1.5145967546025,207.145161290323,15.2016129032258,21.9193548387097,964.282258064516
"7","Sunday",6933.23140495868,5.02719007368121,208.487603305785,2263,2.89231406678699,0.618016524491868,1.48892562346347,173.97520661157,14.5289256198347,19.9834710743802,990.256198347107
